dt  error_per_step_estimate  total_error
1 0.4873659438619462 1.9227957435554865
0.5 0.48199503174866926 1.3530954637496095
0.25 0.2538675392570794 1.1966973830035046
0.125 0.12549481177956917 0.3240504528775006
0.0625 0.06256117563824481 0.08168014849800406
0.03125 0.0312576350261531 0.020447063456383856
0.015625 0.015625953756715858 0.005112931098757232
0.0078125 0.0078126192135361 0.0012783167821698068
0.00390625 0.003906264901203517 0.0003195783160231039
0.001953125 0.001953126862647242 0.0000798949143426809
0.0009765625 0.0009765627328306898 0.00001997374570792348
0.00048828125 0.0004882812791038258 0.000004993435549735385
0.000244140625 0.0002441406286379611 0.0000012483585556160908
0.0001220703125 0.00012207031295477115 0.00000031208258234246915
0.00006103515625 0.00006103515630683125 0.00000007802060536062688
0.000030517578125 0.00003051757813211091 0.000000019503298195266517
0.0000152587890625 0.00001525878906339616 0.000000004877859186726478
0.00000762939453125 0.000007629394531355156 0.0000000012269119720357028
0.000003814697265625 0.000003814697265633954 0.0000000003262419696465342
0.0000019073486328125 0.0000019073486328117046 0.00000000011041054972731728
0.00000095367431640625 0.0000009536743164046459 0.00000000005596475483727171
0.000000476837158203125 0.00000047683715820033 0.000000000057958452624230024
0.0000002384185791015625 0.0000002384185791000177 0.00000000011372469520465867
